G_filename,H_filename,Score,TP,FP,FN,Reversed Edges,Accuracy,Precision,Recall,F1-Score,Depth Deviation,Mean Depth Error
G_1000_50_spectral_radius,H_1000_50_spectral_radius,spectral_radius,0,0,999,0,0.0,0.0,0.0,0.0,0,0.0
G_1000_50_triangle,H_1000_50_triangle,triangle,28,18,971,6,0.027532,0.608696,0.028028,0.053589,0,0.0
G_1000_60,H_1000_60,default,361,638,638,14,0.220525,0.361361,0.361361,0.361361,418526,418.526
G_1000_60_betweenness_centrality,H_1000_60_betweenness_centrality,betweenness_centrality,849,749,150,150,0.485698,0.531289,0.84985,0.653831,0,0.0
G_1000_60_closeness_centrality,H_1000_60_closeness_centrality,closeness_centrality,658,940,341,341,0.33935,0.411765,0.658659,0.506739,0,0.0
G_1000_60_clustering_coefficient,H_1000_60_clustering_coefficient,clustering_coefficient,5,5,994,2,0.00498,0.5,0.005005,0.009911,0,0.0
G_1000_60_core_number,H_1000_60_core_number,core_number,204,0,795,0,0.204204,1.0,0.204204,0.339152,0,0.0
G_1000_60_degree_centrality,H_1000_60_degree_centrality,degree_centrality,769,630,230,125,0.472069,0.549678,0.76977,0.641368,0,0.0
G_1000_60_fiedler_vector,H_1000_60_fiedler_vector,fiedler_vector,421,1177,578,578,0.193474,0.263454,0.421421,0.32422,0,0.0
G_1000_60_hits,H_1000_60_hits,hits,643,955,356,356,0.329069,0.402378,0.643644,0.495187,0,0.0
G_1000_60_in_degree_centrality,H_1000_60_in_degree_centrality,in_degree_centrality,291,744,708,277,0.166954,0.281159,0.291291,0.286136,0,0.0
G_1000_60_katz,H_1000_60_katz,katz,511,943,488,355,0.263131,0.351444,0.511512,0.416633,0,0.0
G_1000_60_laplacian_eigenmap,H_1000_60_laplacian_eigenmap,laplacian_eigenmap,421,1177,578,578,0.193474,0.263454,0.421421,0.32422,0,0.0
G_1000_60_local_efficiency,H_1000_60_local_efficiency,local_efficiency,6,5,993,2,0.005976,0.545455,0.006006,0.011881,0,0.0
G_1000_60_normalized_laplacian,H_1000_60_normalized_laplacian,normalized_laplacian,687,911,312,312,0.359686,0.429912,0.687688,0.529072,0,0.0
G_1000_60_our_degree_centrality,H_1000_60_our_degree_centrality,our_degree_centrality,796,636,203,106,0.48685,0.555866,0.796797,0.654875,0,0.0
G_1000_60_pagerank,H_1000_60_pagerank,pagerank,558,1040,441,441,0.273664,0.349186,0.558559,0.429727,0,0.0
G_1000_60_spectral_centrality,H_1000_60_spectral_centrality,spectral_centrality,674,565,325,152,0.430946,0.543987,0.674675,0.602324,0,0.0
G_1000_60_spectral_clustering,H_1000_60_spectral_clustering,spectral_clustering,232,536,767,254,0.15114,0.302083,0.232232,0.262592,0,0.0
G_1000_60_spectral_radius,H_1000_60_spectral_radius,spectral_radius,0,0,999,0,0.0,0.0,0.0,0.0,0,0.0
