nohup: ignoring input
Starting simulated annealing
Initial tree is an arborescence:  True
Initial tree generated
Iteration: 176727, Valid modifications: 75, Effective modifications: 75, Loss: 1805.4528005354807
Iteration: 180890, Valid modifications: 76, Effective modifications: 76, Loss: 1805.4528005354807
Iteration: 181036, Valid modifications: 77, Effective modifications: 77, Loss: 1804.457742903421
Iteration: 182354, Valid modifications: 78, Effective modifications: 78, Loss: 1804.457742903421
Iteration: 183176, Valid modifications: 79, Effective modifications: 79, Loss: 1804.457742903421
Iteration: 186301, Valid modifications: 80, Effective modifications: 80, Loss: 1804.457742903421
Iteration: 187012, Valid modifications: 81, Effective modifications: 81, Loss: 1804.457742903421
Iteration: 187982, Valid modifications: 82, Effective modifications: 82, Loss: 1804.457742903421
Iteration: 192596, Valid modifications: 83, Effective modifications: 83, Loss: 1804.457742903421
Iteration: 194556, Valid modifications: 84, Effective modifications: 84, Loss: 1804.457742903421
Iteration: 196341, Valid modifications: 85, Effective modifications: 85, Loss: 1804.457742903421
Iteration: 196585, Valid modifications: 86, Effective modifications: 86, Loss: 1804.457742903421
Iteration: 198322, Valid modifications: 87, Effective modifications: 87, Loss: 1804.457742903421
Iteration: 201146, Valid modifications: 88, Effective modifications: 88, Loss: 1804.457742903421
Iteration: 206253, Valid modifications: 89, Effective modifications: 89, Loss: 1804.457742903421
Iteration: 206433, Valid modifications: 90, Effective modifications: 90, Loss: 1804.457742903421
Iteration: 206694, Valid modifications: 91, Effective modifications: 91, Loss: 1804.457742903421
Iteration: 208077, Valid modifications: 92, Effective modifications: 92, Loss: 1804.457742903421
Iteration: 210664, Valid modifications: 93, Effective modifications: 93, Loss: 1804.457742903421
Iteration: 212209, Valid modifications: 94, Effective modifications: 94, Loss: 1804.457742903421
Iteration: 214553, Valid modifications: 95, Effective modifications: 95, Loss: 1804.457742903421
Iteration: 219053, Valid modifications: 96, Effective modifications: 96, Loss: 1804.457742903421
Iteration: 222732, Valid modifications: 97, Effective modifications: 97, Loss: 1804.457742903421
Iteration: 223377, Valid modifications: 98, Effective modifications: 98, Loss: 1804.457742903421
Iteration: 232077, Valid modifications: 99, Effective modifications: 99, Loss: 1804.457742903421
Iteration: 232593, Valid modifications: 100, Effective modifications: 100, Loss: 1804.457742903421
Iteration: 235858, Valid modifications: 101, Effective modifications: 101, Loss: 1804.457742903421
Iteration: 237512, Valid modifications: 102, Effective modifications: 102, Loss: 1804.457742903421
Iteration: 237960, Valid modifications: 103, Effective modifications: 103, Loss: 1804.457742903421
Iteration: 239219, Valid modifications: 104, Effective modifications: 104, Loss: 1804.457742903421
Iteration: 239532, Valid modifications: 105, Effective modifications: 105, Loss: 1804.457742903421
Iteration: 241188, Valid modifications: 106, Effective modifications: 106, Loss: 1804.457742903421
Iteration: 241239, Valid modifications: 107, Effective modifications: 107, Loss: 1804.457742903421
Iteration: 243443, Valid modifications: 108, Effective modifications: 108, Loss: 1804.457742903421
Iteration: 251377, Valid modifications: 109, Effective modifications: 109, Loss: 1804.457742903421
Iteration: 260078, Valid modifications: 110, Effective modifications: 110, Loss: 1804.457742903421
Iteration: 268387, Valid modifications: 111, Effective modifications: 111, Loss: 1804.457742903421
Iteration: 273062, Valid modifications: 112, Effective modifications: 112, Loss: 1804.457742903421
Iteration: 277463, Valid modifications: 113, Effective modifications: 113, Loss: 1804.457742903421
Iteration: 277533, Valid modifications: 114, Effective modifications: 114, Loss: 1804.457742903421
Iteration: 283353, Valid modifications: 115, Effective modifications: 115, Loss: 1804.457742903421
Iteration: 287070, Valid modifications: 116, Effective modifications: 116, Loss: 1804.457742903421
