nohup: ignoring input
Starting simulated annealing
Iteration: 82000, Valid modifications: 70733, Effective modifications: 70657, Loss: 21631.541727673088
Iteration: 83000, Valid modifications: 71589, Effective modifications: 71513, Loss: 21614.28199854626
Iteration: 84000, Valid modifications: 72460, Effective modifications: 72383, Loss: 21691.493181505506
Iteration: 85000, Valid modifications: 73323, Effective modifications: 73246, Loss: 21636.911194373664
Iteration: 86000, Valid modifications: 74196, Effective modifications: 74119, Loss: 21665.931344692926
Iteration: 87000, Valid modifications: 75065, Effective modifications: 74985, Loss: 21683.194417533294
Iteration: 88000, Valid modifications: 75932, Effective modifications: 75852, Loss: 21666.494792605197
Iteration: 89000, Valid modifications: 76777, Effective modifications: 76696, Loss: 21652.979619060163
Iteration: 90000, Valid modifications: 77679, Effective modifications: 77597, Loss: 21780.776609367782
Iteration: 91000, Valid modifications: 78592, Effective modifications: 78504, Loss: 21662.621423523346
Iteration: 92000, Valid modifications: 79490, Effective modifications: 79401, Loss: 21738.73104155376
Iteration: 94000, Valid modifications: 81210, Effective modifications: 81118, Loss: 21655.573123817252
Iteration: 95000, Valid modifications: 82076, Effective modifications: 81983, Loss: 21639.844939015944
Iteration: 96000, Valid modifications: 82963, Effective modifications: 82869, Loss: 21623.948906152582
Iteration: 97000, Valid modifications: 83850, Effective modifications: 83755, Loss: 21689.753434442504
Iteration: 98000, Valid modifications: 84685, Effective modifications: 84590, Loss: 21751.29092792474
Iteration: 99000, Valid modifications: 85553, Effective modifications: 85457, Loss: 21720.927216808315
Iteration: 100000, Valid modifications: 86466, Effective modifications: 86370, Loss: 21673.37471637257
Iteration: 101000, Valid modifications: 87344, Effective modifications: 87247, Loss: 21655.47323602214
Iteration: 102000, Valid modifications: 88221, Effective modifications: 88122, Loss: 21624.46021371184
Iteration: 103000, Valid modifications: 89076, Effective modifications: 88974, Loss: 21509.335192822717
Iteration: 104000, Valid modifications: 89967, Effective modifications: 89864, Loss: 21691.99295188467
Iteration: 105000, Valid modifications: 90839, Effective modifications: 90734, Loss: 21747.254077109697
Iteration: 106000, Valid modifications: 91714, Effective modifications: 91607, Loss: 21728.5922635694
Iteration: 107000, Valid modifications: 92584, Effective modifications: 92477, Loss: 21752.301379869667
Iteration: 110000, Valid modifications: 95153, Effective modifications: 95041, Loss: 21608.1376713573
Iteration: 111000, Valid modifications: 96040, Effective modifications: 95928, Loss: 21747.49093334391
Iteration: 112000, Valid modifications: 96907, Effective modifications: 96794, Loss: 21680.220082142172
Iteration: 113000, Valid modifications: 97758, Effective modifications: 97645, Loss: 21776.336682644585
Iteration: 114000, Valid modifications: 98636, Effective modifications: 98519, Loss: 21700.499675793304
Iteration: 115000, Valid modifications: 99485, Effective modifications: 99366, Loss: 21716.521032471574
Iteration: 116000, Valid modifications: 100344, Effective modifications: 100224, Loss: 21664.65918756196
Iteration: 117000, Valid modifications: 101211, Effective modifications: 101090, Loss: 21714.063990182247
Iteration: 118000, Valid modifications: 102105, Effective modifications: 101982, Loss: 21784.287193855947
Iteration: 119000, Valid modifications: 102954, Effective modifications: 102828, Loss: 21761.0143428367
Iteration: 120000, Valid modifications: 103796, Effective modifications: 103670, Loss: 21741.83246335626
Iteration: 121000, Valid modifications: 104662, Effective modifications: 104536, Loss: 21634.93460735417
Iteration: 122000, Valid modifications: 105510, Effective modifications: 105384, Loss: 21644.649070227708
Iteration: 123000, Valid modifications: 106367, Effective modifications: 106240, Loss: 21697.785641719787
Iteration: 124000, Valid modifications: 107212, Effective modifications: 107084, Loss: 21750.132858409324
Iteration: 125000, Valid modifications: 108073, Effective modifications: 107940, Loss: 21670.60194116801
Iteration: 126000, Valid modifications: 108938, Effective modifications: 108803, Loss: 21661.604494892938
Iteration: 127000, Valid modifications: 109793, Effective modifications: 109655, Loss: 21714.145706797528
Iteration: 128000, Valid modifications: 110669, Effective modifications: 110527, Loss: 21712.079291096008
Iteration: 130000, Valid modifications: 112381, Effective modifications: 112238, Loss: 21732.061883087645
Iteration: 131000, Valid modifications: 113239, Effective modifications: 113093, Loss: 21779.39407640319
Iteration: 132000, Valid modifications: 114083, Effective modifications: 113937, Loss: 21724.856521326503
Iteration: 133000, Valid modifications: 114936, Effective modifications: 114790, Loss: 21614.16066564228
Iteration: 134000, Valid modifications: 115813, Effective modifications: 115663, Loss: 21662.696976436044
Iteration: 135000, Valid modifications: 116628, Effective modifications: 116476, Loss: 21704.44957998993
Iteration: 136000, Valid modifications: 117483, Effective modifications: 117330, Loss: 21748.958869099897
Iteration: 137000, Valid modifications: 118325, Effective modifications: 118169, Loss: 21692.43419565009
Iteration: 138000, Valid modifications: 119196, Effective modifications: 119039, Loss: 21741.221436604756
Iteration: 139000, Valid modifications: 120080, Effective modifications: 119923, Loss: 21674.197410990688
Iteration: 140000, Valid modifications: 120968, Effective modifications: 120811, Loss: 21605.737645401263
Iteration: 141000, Valid modifications: 121835, Effective modifications: 121678, Loss: 21716.89230634659
Iteration: 142000, Valid modifications: 122691, Effective modifications: 122534, Loss: 21731.08043624467
Iteration: 143000, Valid modifications: 123543, Effective modifications: 123384, Loss: 21754.84267330365
Iteration: 144000, Valid modifications: 124426, Effective modifications: 124262, Loss: 21642.04669820999
Iteration: 145000, Valid modifications: 125281, Effective modifications: 125114, Loss: 21666.31943288865
Iteration: 146000, Valid modifications: 126147, Effective modifications: 125977, Loss: 21693.78185977296
Iteration: 147000, Valid modifications: 126972, Effective modifications: 126802, Loss: 21672.893797347842
Iteration: 148000, Valid modifications: 127858, Effective modifications: 127687, Loss: 21742.787445072863
Iteration: 150000, Valid modifications: 129570, Effective modifications: 129397, Loss: 21794.044994395223
Iteration: 151000, Valid modifications: 130419, Effective modifications: 130246, Loss: 21798.6455642866
Iteration: 152000, Valid modifications: 131264, Effective modifications: 131088, Loss: 21723.668391035295
Iteration: 153000, Valid modifications: 132155, Effective modifications: 131977, Loss: 21692.37124360549
Iteration: 154000, Valid modifications: 133023, Effective modifications: 132844, Loss: 21736.58657189267
Iteration: 155000, Valid modifications: 133878, Effective modifications: 133697, Loss: 21676.417821724186
Iteration: 156000, Valid modifications: 134721, Effective modifications: 134538, Loss: 21709.426679026798
Iteration: 157000, Valid modifications: 135584, Effective modifications: 135400, Loss: 21661.686960618394
Iteration: 158000, Valid modifications: 136439, Effective modifications: 136254, Loss: 21705.01058110897
Iteration: 160000, Valid modifications: 138133, Effective modifications: 137946, Loss: 21739.328131695132
Iteration: 162000, Valid modifications: 139856, Effective modifications: 139665, Loss: 21758.940780888246
Iteration: 163000, Valid modifications: 140748, Effective modifications: 140554, Loss: 21689.081774576498
