2025-03-11 14:06:05,756 - Trial 24: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 959.0728757539929, 'cooling_rate': 0.9900527369507404, 'max_iter': 14000000, 'loss_weights': {'weight': 1.3703542752539033, 'community': 12.773121229138471, 'diversity': 10.383729409689472, 'shortcut': 8523.042558307363}, 'resolution': 1.726029236512979}
2025-03-11 14:06:07,013 - Trial 25: F1-score = 0.21199586349534644, Shortcuts = 176, TP = 410, Parameters = {'initial_temp': 914.7295000627565, 'cooling_rate': 0.9915409892381755, 'max_iter': 7300000, 'loss_weights': {'weight': 17.738905921516583, 'community': 17.162424469240165, 'diversity': 18.867615995401515, 'shortcut': 131.7877691228078}, 'resolution': 2.7860498208215576}
2025-03-11 14:06:09,046 - Trial 3: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 662.9893377411643, 'cooling_rate': 0.9971420161723192, 'max_iter': 49200000, 'loss_weights': {'weight': 12.167970934056601, 'community': 11.248912969672817, 'diversity': 1.933928709792571, 'shortcut': 7970.766260073911}, 'resolution': 3.6097651449060675}
2025-03-11 14:06:09,636 - Trial 36: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 593.941333751098, 'cooling_rate': 0.9918240821797212, 'max_iter': 80700000, 'loss_weights': {'weight': 15.373484263304345, 'community': 12.258566106139195, 'diversity': 11.035350642841125, 'shortcut': 6084.818317881963}, 'resolution': 3.0794014971848327}
2025-03-11 14:06:10,479 - Trial 31: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 439.8378441377982, 'cooling_rate': 0.994640896040419, 'max_iter': 88800000, 'loss_weights': {'weight': 11.180502693828899, 'community': 4.873436438364146, 'diversity': 13.05425171117436, 'shortcut': 1658.685566732298}, 'resolution': 1.9865589724220558}
2025-03-11 14:06:10,817 - Trial 30: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 474.80013240897205, 'cooling_rate': 0.9936807941709757, 'max_iter': 85800000, 'loss_weights': {'weight': 6.9461854188638865, 'community': 18.134368422546046, 'diversity': 0.6897424073071986, 'shortcut': 4222.179656830645}, 'resolution': 0.9963624758902865}
2025-03-11 14:06:10,873 - Trial 33: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 428.7455514095191, 'cooling_rate': 0.9922078999757854, 'max_iter': 2100000, 'loss_weights': {'weight': 11.718558657750107, 'community': 7.014955398020389, 'diversity': 17.015362239742814, 'shortcut': 4086.595621320084}, 'resolution': 4.406062955824454}
2025-03-11 14:06:12,449 - Trial 39: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 148.79719078087123, 'cooling_rate': 0.990741604048767, 'max_iter': 71200000, 'loss_weights': {'weight': 8.641653525934473, 'community': 5.14677430418415, 'diversity': 7.8074053130526675, 'shortcut': 9733.520701232688}, 'resolution': 1.6138438154532928}
2025-03-11 14:06:12,807 - Trial 14: F1-score = 0.218595450049456, Shortcuts = 0, TP = 442, Parameters = {'initial_temp': 133.35472226055623, 'cooling_rate': 0.9956108012795206, 'max_iter': 95100000, 'loss_weights': {'weight': 8.672098125865594, 'community': 11.06424929115256, 'diversity': 0.18420132574777925, 'shortcut': 4940.252957586679}, 'resolution': 3.0379623269959657}
2025-03-11 14:06:12,942 - Trial 19: F1-score = 0.21842496285289748, Shortcuts = 6, TP = 441, Parameters = {'initial_temp': 326.2888316707608, 'cooling_rate': 0.9948946561828949, 'max_iter': 74100000, 'loss_weights': {'weight': 8.294938647014282, 'community': 16.47436201291219, 'diversity': 19.722463642863648, 'shortcut': 428.9200003001185}, 'resolution': 2.6245930789956367}
