Graph name,Nodes,Edges,TP,FP,TN,FN,TP_norm,FP_norm,TN_norm,FN_norm,Accuracy,Precision,Negative predictive value,Recall,True negative rate,F1-Score
Graph theory,2023,34065,442,1580,30463,1580,0.013,0.0464,0.8943,0.0464,0.9072,0.2186,0.9507,0.2186,0.9507,0.2186
Graph theory,2023,34065,476,1546,30497,1546,0.014,0.0454,0.8953,0.0454,0.9092,0.2354,0.9518,0.2354,0.9518,0.2354
Calculus,2352,40641,633,1718,36572,1718,0.0156,0.0423,0.8999,0.0423,0.9155,0.2692,0.9551,0.2692,0.9551,0.2692
Graph theory,2023,34065,441,1581,30462,1581,0.0129,0.0464,0.8942,0.0464,0.9072,0.2181,0.9507,0.2181,0.9507,0.2181
Graph theory,2023,34065,413,1493,30550,1609,0.0121,0.0438,0.8968,0.0472,0.9089,0.2167,0.95,0.2043,0.9534,0.2103
Graph theory,2023,34065,354,869,31174,1668,0.0104,0.0255,0.9151,0.049,0.9255,0.2895,0.9492,0.1751,0.9729,0.2182
Graph theory,2023,34065,97,191,31852,1925,1734,0.9379,0.3368,0.943,0.048,0.994,0.084
