Graph name,Nodes,Edges,TP,FP,FN,TN,TP_norm,FP_norm,FN_norm,TN_norm,Accuracy,Precision,Negative predictive value,Recall,True negative rate,F1-Score
Dance,47362,1137434,4219,1009205,553,123457,0.0037,0.8873,0.0005,0.1085,0.1122,0.0042,0.9955,0.8841,0.109,0.0083
Mathematics,130963,6800870,29057,5912117,3683,856013,0.0043,0.8693,0.0005,0.1259,0.1301,0.0049,0.9957,0.8875,0.1265,0.0097
Complex numbers,3658,223685,1201,211826,94,10564,0.0054,0.947,0.0004,0.0472,0.0526,0.0056,0.9912,0.9274,0.0475,0.0112
Nonstandard analysis,32,560,5,304,21,230,0.0089,0.5429,0.0375,0.4107,0.4196,0.0162,0.9163,0.1923,0.4307,0.0299
Linear algebra,20835,606581,4719,541953,532,59377,0.0078,0.8935,0.0009,0.0979,0.1057,0.0086,0.9911,0.8987,0.0987,0.0171
Graph theory,3391,72326,1000,62411,102,8813,0.0138,0.8629,0.0014,0.1219,0.1357,0.0158,0.9886,0.9074,0.1237,0.031
